ID;Fundnr;Anzahl;Verzier_a1;Verz_a1_mehrfach;Wsmin;Wsmax;Verzier_a2;Verzier_a2_mehrfach;Verzier_a3;Verzier_a4;Verzier_i;Dmax;Proz_erhalt;Fragmenttyp;Anmerk;Zchng;Typ;joint;Ware
401;1230400;3;10;;0,6;0,7;;;;;;;;;;;;;
402;1230396;15;10;;0,6;0,75;;;;;;;;;;;;;
403;1230398;28;10;;0,5;0,9;;;;;;;;;;;;;
404;1230402;54;10;;0,4;1;;;;;;;;;;;;;
405;1230411;13;10;;0,5;1,2;;;;;;;;;;;;;
406;1230435;32;10;;0,6;0,8;;;;;;;;;;;;;
407;1230436;10;10;;0,6;0,75;;;;;;;;;;;;;
408;1230463;10;10;;0,5;0,8;;;;;;;;;;;;;
409;1230469;3;10;;0,6;1;;;;;;;;;;;;;
410;1230470;3;10;;0,5;1;;;;;;;;;;;;;
411;1230427;12;10;;0,6;0,75;;;;;;;;;;;;;
412;1230472;11;10;;0,6;0,9;;;;;;;;;;;;;
413;1230448;2;10;;;0,75;;;;;;;;;;;;;
414;1230406;9;10;;0,7;0,8;;;;;;;;;;;;;
415;1230392;48;10;;0,45;0,7;;;;;;;;;;;;;
416;1230392;3;10;;0,6;1,1;;;;;;;;;;;;;
417;1230493;44;10;;0,5;0,9;;;;;;;;;;;;;
418;1230282;56;10;;0,5;0,8;;;;;;;;;;;;;
419;1230395;25;10;;0,5;0,7;;;;;;;;;;;;;
420;1230443;1;10;;;0,5;;;;;;;;;;;;;
421;1230476;4;10;;;;;;;;;;;;;;;;
422;1230476;4;10;;0,45;1;;;;;;;;;;;;;
423;1230434;15;10;;0,6;0,8;;;;;;;;;;;;;
424;1230444;2;10;;0,6;0,7;;;;;;;;;;;;;
425;1230498;2;10;;;0,7;;;;;;;;;;;;;
426;1230452;2;10;;;0,5;;;;;;;;;;;;;
427;1230288;2;10;;;0,65;;;;;;;;;;;;;
428;1230473;7;10;;0,6;0,9;;;;;;;;;;;;;
429;1230405;4;10;;0,7;0,8;;;;;;;;;;;;;
430;1230454;3;10;;0,7;0,8;;;;;;;;;;;;;
431;1230464;24;10;;0,6;0,8;;;;;;;;;;;;;
432;1230461;10;10;;0,6;0,9;;;;;;;;;;;;;
433;1230394;7;10;;0,65;0,85;;;;;;;;;;;;;
434;1230394;6;10;;;0,75;;;;;;;;;;;;;
435;1230408;4;10;;0,6;0,75;;;;;;;;;;;;;
